loan_id,origination_date,vintage,country,gender,age,dependents,monthly_income_usd,years_in_business,sector,loan_purpose,loan_amount_usd,loan_term_months,interest_rate_pct,dti_ratio,previous_loans,previous_defaults,dpd_history_days,group_lending,has_collateral,default
1,2024-05-20,29,Senegal,M,61,0,442.74,0.8,Agriculture,Working capital,1947.97,24,33.9,0.2549,0,0,0,0,0,0
2,2023-07-25,19,Senegal,F,42,2,144.12,3.0,Petty trade,Equipment,1353.54,24,15.3,0.4567,3,1,104,1,1,1
3,2024-08-18,32,Sierra Leone,F,46,1,132.82,0.3,Agriculture,Working capital,660.75,12,29.6,0.484,4,1,71,1,1,0
4,2024-03-21,27,Gambia,M,34,4,130.08,3.6,Services,Working capital,209.35,9,37.6,0.208,2,0,0,0,1,0
5,2022-05-31,5,Gambia,F,59,1,169.28,2.8,Services,Equipment,1133.3,12,29.4,0.6507,1,0,21,0,0,0
6,2024-11-16,35,Senegal,F,21,1,211.91,0.3,Agriculture,Inventory,721.94,24,24.2,0.1805,1,0,21,1,0,0
7,2024-05-20,29,Gambia,F,30,2,119.69,5.0,Fishing,Working capital,254.6,12,17.0,0.194,1,0,0,1,0,0
8,2024-06-19,30,Ghana,M,64,4,57.65,3.5,Livestock,Inventory,434.36,6,19.2,1.327,2,0,0,0,0,0
9,2022-06-30,6,Senegal,M,40,7,226.1,4.6,Agriculture,Working capital,1547.76,3,24.8,2.3768,0,0,0,1,1,0
10,2023-07-25,19,Nigeria,M,26,2,74.5,0.3,Petty trade,Working capital,481.61,12,34.2,0.6436,4,1,158,0,0,0
11,2023-05-26,17,Nigeria,F,37,4,66.5,2.5,Agriculture,Working capital,211.4,3,32.7,1.1179,3,0,7,0,0,0
12,2024-10-17,34,Senegal,F,29,1,116.95,7.9,Fishing,Expansion,386.79,6,24.8,0.5918,0,0,14,1,0,0
13,2024-02-20,26,Nigeria,F,42,2,92.44,1.5,Services,Inventory,371.8,12,21.4,0.3753,0,0,7,1,0,0
14,2024-07-19,31,Gambia,M,29,0,152.63,4.9,Services,Education,1162.91,6,23.1,1.3568,0,0,0,1,1,0
15,2023-07-25,19,Ghana,M,36,0,171.07,2.2,Fishing,Inventory,288.03,6,37.2,0.3118,2,1,156,1,0,0
16,2022-11-27,11,Ghana,F,60,1,91.65,3.6,Services,Education,714.96,12,15.8,0.7071,2,0,7,0,1,0
17,2023-11-22,23,Gambia,F,21,0,130.68,0.3,Livestock,Working capital,1244.23,3,28.1,3.3235,0,0,0,0,0,0
18,2022-04-01,3,Gambia,M,53,2,90.81,3.3,Agriculture,Inventory,672.97,24,23.6,0.3903,0,0,14,1,0,0
19,2024-07-19,31,Ghana,F,21,4,192.5,1.5,Agriculture,Inventory,999.69,24,33.1,0.2987,0,0,14,1,1,0
20,2024-01-21,25,Ghana,F,39,5,163.07,11.4,Petty trade,Inventory,956.02,24,26.0,0.3158,0,0,0,0,0,0
21,2024-05-20,29,Ghana,F,49,4,186.88,4.6,Livestock,Emergency,1108.6,3,17.6,2.0357,1,0,0,0,0,0
22,2023-04-26,16,Gambia,F,62,0,102.46,1.7,Agriculture,Inventory,615.66,3,40.3,2.1389,2,0,0,1,0,0
23,2024-11-16,35,Gambia,M,29,2,141.88,15.1,Petty trade,Working capital,1337.66,6,29.4,1.7088,2,1,50,0,0,0
24,2024-09-17,33,Sierra Leone,F,20,4,165.01,1.0,Manufacturing,Expansion,1549.11,18,28.9,0.6489,0,0,21,1,0,1
25,2024-06-19,30,Gambia,F,53,2,190.44,2.3,Agriculture,Working capital,786.37,18,16.4,0.2603,3,0,0,0,0,0
26,2022-09-28,9,Sierra Leone,F,60,6,180.86,6.4,Services,Working capital,350.27,3,25.0,0.6726,3,0,7,1,0,0
27,2023-08-24,20,Nigeria,F,44,4,112.88,9.5,Agriculture,Inventory,662.51,3,21.7,2.0276,2,0,0,0,1,0
28,2022-03-02,2,Ghana,M,20,3,60.96,6.3,Agriculture,Working capital,78.96,6,26.9,0.2331,1,0,0,0,1,0
29,2022-08-29,8,Senegal,F,41,1,164.18,8.4,Petty trade,Expansion,1018.26,6,12.6,1.072,5,0,0,1,1,0
30,2024-03-21,27,Nigeria,F,36,1,159.37,1.4,Manufacturing,Equipment,1212.49,3,28.6,2.6578,1,0,0,1,1,0
31,2024-05-20,29,Sierra Leone,M,39,4,62.81,2.0,Agriculture,Emergency,461.81,3,34.2,2.5918,1,0,21,1,0,0
32,2024-11-16,35,Nigeria,F,20,0,201.95,2.5,Petty trade,Equipment,765.98,12,23.2,0.3572,1,0,0,1,0,0
33,2023-03-27,15,Nigeria,M,32,4,133.45,4.4,Services,Equipment,951.1,12,29.8,0.6941,0,0,7,0,0,0
34,2023-05-26,17,Senegal,F,64,3,112.47,5.3,Petty trade,Equipment,401.27,9,19.3,0.429,1,0,0,0,0,1
